Country,Year,Agricultural production index (2014-2016=100),"Balance of payments, current account (million US$)",CPI: Consumer Price Index (2010=100),Economy: Agriculture (% of Gross Value Added),Economy: Industry (% of Gross Value Added),Economy: Services and other activity (% of GVA),Employment in agriculture (% of employed),Employment in industry (% of employed),Employment in services (% employed),"GDP growth rate (annual %, const. 2015 prices)",GDP per capita (current US$),GDP: Gross domestic product (million current US$),International trade: balance (million current US$),International trade: exports (million current US$),International trade: imports (million current US$),Unemployment (% of labour force),Labour force participation rate - Female (per 100 pop.),Labour force participation rate - Male (per 100 pop.),Labour force participation rate - Female/Labour force participation rate - Male Ratio,Education: Government expenditure (% of GDP),"Fertility rate, total (live births per woman)",Health: Current expenditure (% of GDP),Health: Physicians (per 1 000 pop.),Intentional homicide rate (per 100 000 pop.),Population growth rate (average annual %),Refugees and others of concern to UNHCR (000),Seats held by women in national parliaments (%),Under five mortality rate (per 1000 live births),Urban population (% of total population),Urban population growth rate (average annual %),Education: Primary gross enrol. ratio - Female (per 100 pop.),Education: Primary gross enrol. ratio - Male (per 100 pop.),Education: Primary gross enrol. ratio - Female/Education: Primary gross enrol. ratio - Male Ratio,Education: Upper Sec. gross enrol. ratio - Female (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Male (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Female/Education: Upper Sec. gross enrol. ratio - Male Ratio,Education: Lower Sec. gross enrol. ratio - Female (per 100 pop.),Education: Lower Sec. gross enrol. ratio - Male (per 100 pop.),Education: Lower Sec. gross enrol. ratio - Female/Education: Lower Sec. gross enrol. ratio - Male Ratio,International migrant stock (000),International migrant stock (% of total pop.),International migrant stock/International migrant stock Ratio,Life expectancy at birth - Female (years),Life expectancy at birth - Male (years),Life expectancy at birth - Female/Life expectancy at birth - Male Ratio,Population age distribution - 0-14 years (%),Population age distribution - 60+ years (%),Population age distribution - 0-14 years/Population age distribution - 60+ years Ratio,"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Forested area (% of land area),Important sites for terrestrial biodiversity protected (%),Individuals using the Internet (per 100 inhabitants),Net Official Development Assist. disbursed (% of GNI),Net Official Development Assist. received (% of GNI),Research & Development expenditure (% of GDP),Threatened species (number),Tourist/visitor arrivals at national borders (000),CO2 emission estimates - Total (million tons),CO2 emission estimates - Per capita (tons per capita),CO2 emission estimates - Total/CO2 emission estimates - Per capita Ratio,Pop. using safely managed drinking water - Urban (%),Pop. using safely managed drinking water - Rural (%),Pop. using safely managed drinking water - Urban/Pop. using safely managed drinking water - Rural Ratio,Pop. using safely managed sanitation - Urban (%),Pop. using safely managed sanitation - Rural (%),Pop. using safely managed sanitation - Urban/Pop. using safely managed sanitation - Rural Ratio
Dominica,2020.0,100.0,189.0,105.0,17.8,14.3,67.9,,,,16.1,7036.8,507.0,167.0,13.0,180.0,,,,,4.7,1.5,6.0,1.1,20.8,0.5,0.0,38.1,30.7,70.8,,88.1,95.2,92.54201680672269,81.4,72.1,112.89875173370321,90.9,98.3,92.47202441505597,8.3,11.5,72.17391304347827,74.6,68.4,109.0643274853801,18.8,17.5,107.42857142857143,0.0,33.0,63.8,33.3,75.7,,12.59,,74.0,22.0,0.2,2.2,9.090909090909092,,,,,,
Dominica,2024.0,101.0,222.0,118.0,19.5,14.2,66.3,,,,5.9,8414.5,612.0,128.0,63.0,191.0,,,,,5.2,1.5,6.5,,13.8,0.4,0.0,37.5,31.7,,,90.2,93.5,96.47058823529412,82.6,73.9,111.77266576454667,86.5,99.7,86.76028084252758,,,,74.7,68.4,109.21052631578947,17.9,18.9,94.70899470899471,0.0,33.0,63.8,33.3,83.4,,14.46,,108.0,61.0,0.2,2.3,8.695652173913045,,,,,,
Dominican Republic,2015.0,100.0,1280.0,122.0,5.9,30.6,63.5,9.7,18.4,71.9,6.9,6838.0,71155.0,9298.0,9389.0,18687.0,7.6,48.0,75.9,63.24110671936758,3.6,2.4,4.7,1.5,17.6,1.1,135.1,20.8,34.9,78.6,2.5,106.8,117.0,91.28205128205128,80.5,70.0,114.99999999999999,90.3,88.0,102.61363636363636,549.3,5.3,10364.150943396226,76.4,69.7,109.6126255380201,29.2,8.8,331.8181818181818,33.0,32.0,43.5,76.6,54.2,,0.41,,153.0,5600.0,21.2,2.0,1060.0,46.9,34.5,135.94202898550725,44.8,51.3,87.32943469785575
Dominican Republic,2020.0,112.0,1337.0,141.0,6.5,32.4,61.2,9.0,19.5,71.6,6.7,7167.9,78845.0,8664.0,9844.0,18508.0,6.1,47.3,73.5,64.35374149659864,4.5,2.3,4.9,1.9,8.7,1.1,31.1,27.9,33.5,81.8,,103.5,108.2,95.6561922365989,73.6,62.1,118.5185185185185,93.4,91.5,102.07650273224044,603.8,5.6,10782.142857142857,76.7,68.9,111.32075471698113,27.7,10.5,263.8095238095238,44.0,34.0,45.1,76.6,81.6,,0.5,,203.0,2405.0,24.3,2.2,1104.5454545454545,46.9,34.8,134.77011494252875,43.0,48.7,88.29568788501027
Dominican Republic,2024.0,128.0,4376.0,174.0,6.2,35.4,58.4,7.7,20.3,72.0,4.9,10111.2,113537.0,17461.0,10036.0,27497.0,5.5,51.5,75.8,67.94195250659631,3.7,2.2,4.9,2.2,12.4,0.8,118.0,27.9,31.5,,,98.6,102.3,96.38318670576734,68.9,56.5,121.94690265486727,91.3,89.5,102.01117318435753,,,,77.1,70.7,109.05233380480904,26.6,11.8,225.4237288135593,48.0,39.0,45.3,76.6,89.0,,0.5,,348.0,7163.0,27.7,2.5,1108.0,46.9,34.9,134.3839541547278,42.3,47.6,88.8655462184874
Ecuador,2015.0,104.0,2221.0,121.0,10.2,34.4,55.4,26.2,19.7,54.1,0.1,6130.6,99290.0,3057.0,18331.0,21387.0,3.6,51.9,79.7,65.11919698870766,5.0,2.2,7.6,1.8,6.5,1.4,133.1,41.6,15.4,63.4,1.8,106.7,106.4,100.28195488721805,99.2,94.1,105.41976620616367,114.2,111.1,102.79027902790281,387.5,2.4,16145.833333333334,78.6,73.8,106.5040650406504,29.0,9.8,295.9183673469388,1260.0,37.0,51.6,24.9,48.9,,0.33,0.4,2308.0,1676.0,37.6,2.3,1634.7826086956522,74.0,50.3,147.11729622266404,34.0,55.0,61.81818181818181
Ecuador,2020.0,95.0,2208.0,124.0,10.5,32.7,56.8,31.8,15.9,52.3,7.8,5645.2,99291.0,2437.0,20355.0,17918.0,6.1,48.3,72.1,66.99029126213593,4.1,2.0,8.4,2.3,7.8,0.8,498.9,39.4,13.0,64.0,,98.6,96.8,101.8595041322314,97.2,93.4,104.06852248394003,105.0,104.1,100.86455331412105,784.8,4.4,17836.363636363636,75.9,68.6,110.64139941690965,26.4,10.9,242.20183486238528,1169.0,30.0,50.3,28.3,70.7,,0.36,,2501.0,507.0,29.4,1.7,1729.4117647058822,74.7,52.8,141.47727272727272,32.1,59.4,54.04040404040404
Ecuador,2024.0,98.0,2291.0,131.0,9.4,33.5,57.1,31.5,17.3,51.1,2.9,6391.3,115049.0,2829.0,33737.0,30909.0,3.5,53.6,78.1,68.62996158770808,3.7,1.8,8.3,,27.0,0.9,566.3,43.1,12.1,,,98.8,96.3,102.59605399792315,98.2,94.7,103.6958817317846,100.3,99.4,100.90543259557343,,,,80.3,74.9,107.20961281708945,24.5,12.0,204.16666666666666,1158.0,34.0,50.1,28.5,72.7,,0.29,,2732.0,1265.0,34.2,1.9,1800.0000000000005,74.7,53.3,140.1500938086304,30.9,61.0,50.65573770491804
Egypt,2015.0,101.0,17243.0,157.0,11.3,36.2,52.5,25.8,25.1,49.1,4.4,3251.5,317745.0,52139.0,21859.0,73998.0,13.0,22.8,70.8,32.20338983050848,3.9,3.5,5.1,0.8,1.8,2.0,256.4,,23.4,42.8,2.1,93.1,94.9,98.10326659641727,63.2,64.3,98.28926905132194,87.4,86.9,100.57537399309551,353.6,0.4,88400.0,72.5,67.8,106.93215339233039,34.1,6.9,494.2028985507246,2991.0,35.0,0.0,38.7,37.8,,0.78,0.7,141.0,9328.0,191.6,2.0,9580.0,,,,69.9,57.9,120.72538860103627
Egypt,2020.0,104.0,14236.0,303.0,12.1,33.6,54.3,20.4,28.5,51.1,3.6,3457.2,371530.0,41114.0,29323.0,70437.0,8.0,14.6,68.4,21.34502923976608,,2.8,4.2,0.7,1.3,1.6,328.8,15.1,19.4,42.7,,98.8,99.0,99.79797979797979,71.4,74.4,95.96774193548387,91.8,93.7,97.97225186766275,543.9,0.5,108780.0,72.0,67.7,106.35155096011817,33.5,7.6,440.7894736842105,3794.0,35.0,0.0,38.7,71.9,,0.44,0.9,172.0,3677.0,203.5,1.9,10710.526315789473,,,,72.6,63.1,115.0554675118859
Egypt,2024.0,109.0,10537.0,486.0,11.5,34.4,54.1,18.7,28.4,53.0,6.6,3687.8,409307.0,41107.0,42052.0,83159.0,6.3,16.5,71.3,23.141654978962134,,2.7,4.6,,,1.6,384.3,27.7,16.2,,,91.8,91.4,100.43763676148797,69.1,72.6,95.17906336088154,94.7,96.9,97.72961816305468,,,,74.0,69.7,106.1692969870875,32.0,8.2,390.24390243902445,4019.0,38.0,0.0,38.7,72.2,,2.03,1.0,216.0,11724.0,227.7,2.1,10842.857142857141,,,,72.6,63.1,115.0554675118859
El Salvador,2015.0,96.0,754.0,108.0,6.1,27.8,66.1,18.1,22.2,59.7,2.4,3761.5,23438.0,4784.0,5509.0,10293.0,4.0,45.0,74.5,60.40268456375839,3.9,2.1,8.8,,106.8,0.3,0.0,27.4,15.4,69.7,1.7,103.3,105.8,97.63705103969754,56.7,51.9,109.24855491329481,88.5,87.1,101.60734787600461,42.1,0.7,6014.285714285715,75.7,66.0,114.6969696969697,28.6,10.1,283.16831683168317,79.0,28.0,29.3,28.0,26.8,,0.4,0.1,83.0,1402.0,6.4,1.0,640.0,80.6,,,17.8,,
El Salvador,2020.0,98.0,277.0,111.0,5.9,26.2,67.9,15.8,23.4,60.9,7.9,3961.7,24930.0,5082.0,4805.0,9888.0,5.0,43.2,72.2,59.83379501385042,4.1,1.8,9.1,2.9,21.3,0.4,72.8,33.3,12.8,72.7,,89.1,88.3,100.90600226500565,54.0,50.1,107.78443113772455,77.9,75.8,102.77044854881268,42.8,0.7,6114.285714285715,74.7,65.5,114.04580152671757,26.3,10.9,241.28440366972478,87.0,28.0,28.2,28.0,54.6,,1.47,0.2,107.0,549.0,6.2,1.0,620.0,79.1,,,17.6,,
El Salvador,2024.0,103.0,466.0,128.0,5.3,28.1,66.6,15.0,23.4,61.6,2.6,5127.3,32489.0,9176.0,6475.0,15651.0,2.7,46.0,76.4,60.209424083769626,4.6,1.8,9.7,1.6,7.8,0.4,81.0,27.4,11.3,,,91.0,90.6,100.44150110375276,55.9,49.2,113.61788617886177,81.4,76.5,106.40522875816994,,,,76.5,67.8,112.83185840707965,24.8,11.6,213.7931034482759,87.0,31.0,28.0,28.0,62.9,,0.79,0.2,202.0,1891.0,7.2,1.1,654.5454545454545,78.6,,,17.4,,
Equatorial Guinea,2015.0,103.0,,119.0,1.9,59.0,39.1,54.9,14.3,30.8,9.1,9781.6,13176.0,4734.0,6566.0,1832.0,8.2,51.1,59.8,85.45150501672242,,4.8,2.3,,,3.7,,24.0,93.3,70.6,5.6,52.8,52.8,100.0,,,,30.7,28.6,107.34265734265733,209.6,17.9,1170.9497206703911,62.3,59.1,105.41455160744499,38.3,5.4,709.2592592592591,822.0,81.0,88.8,100.0,21.3,,0.07,,155.0,,6.1,4.5,135.55555555555554,,,,,,
Equatorial Guinea,2020.0,104.0,,130.0,2.9,45.5,51.6,56.1,13.0,30.9,4.2,6327.6,10099.0,1921.0,2823.0,902.0,9.0,48.7,56.4,86.34751773049646,0.4,4.3,3.9,0.3,,2.3,,21.0,78.4,72.6,,50.4,52.0,96.92307692307692,,,,,,,230.6,16.4,1406.09756097561,64.2,60.3,106.46766169154229,37.9,5.6,676.7857142857143,559.0,66.0,87.3,100.0,55.0,,0.08,,205.0,,5.8,3.6,161.1111111111111,,,,,,
Equatorial Guinea,2024.0,104.0,,136.0,2.6,52.8,44.7,55.5,13.1,31.3,3.2,7025.7,11767.0,3576.0,4719.0,1143.0,8.5,51.7,59.5,86.89075630252101,0.3,4.1,3.4,0.1,,2.4,,32.0,69.2,,,,,,,,,,,,,,,65.9,62.2,105.94855305466237,37.3,6.1,611.4754098360655,542.0,76.0,87.0,100.0,66.8,,0.14,,309.0,,6.8,4.2,161.9047619047619,,,,,,
Eritrea,2015.0,99.0,,,17.2,31.2,51.6,66.5,8.7,24.8,20.6,602.8,2013.0,32.0,415.0,447.0,6.0,71.5,86.3,82.8505214368482,,4.2,4.5,0.1,14.6,0.7,3.0,22.0,46.5,38.2,3.6,69.7,82.9,84.07720144752714,28.8,34.2,84.21052631578947,52.4,63.2,82.91139240506328,15.9,0.5,3180.0,67.9,63.9,106.25978090766823,42.1,5.8,725.8620689655172,29.0,11.0,8.8,0.0,1.1,,6.54,,113.0,114.0,0.5,0.1,500.0,,,,,,
Eritrea,2020.0,105.0,,,17.3,31.3,51.4,64.7,8.8,26.5,0.5,594.0,2112.0,879.0,1231.0,352.0,6.5,70.2,84.4,83.17535545023696,,3.9,4.2,0.1,,1.8,0.2,22.0,39.2,40.7,,65.6,78.3,83.78033205619411,25.5,27.0,94.44444444444444,58.4,67.1,87.03427719821163,13.9,0.4,3475.0,69.3,64.6,107.27554179566563,40.4,6.1,662.2950819672132,31.0,11.0,8.7,0.0,23.8,,,,143.0,142.0,0.6,0.2,299.99999999999994,,,,,,
Eritrea,2024.0,106.0,,,17.3,31.3,51.4,64.0,9.0,27.0,2.6,646.9,2383.0,18.0,475.0,492.0,5.8,71.4,85.6,83.41121495327104,,3.7,4.2,0.1,,1.9,0.1,,33.9,,,,,,,,,,,,,,,70.9,66.8,106.13772455089823,38.1,6.4,595.3125,31.0,11.0,8.7,0.0,26.6,,,,164.0,,0.6,0.2,299.99999999999994,,,,,,
Estonia,2015.0,111.0,403.0,111.0,3.3,27.5,69.2,3.9,30.7,65.4,1.9,17405.0,22882.0,1824.0,13908.0,15732.0,6.2,55.8,69.2,80.635838150289,5.1,1.6,6.6,3.4,3.4,0.2,86.8,19.8,3.4,68.4,0.2,96.8,97.0,99.79381443298969,116.3,112.6,103.28596802841918,101.9,104.0,97.98076923076924,194.7,14.8,1315.5405405405404,81.8,73.1,111.9015047879617,16.0,25.2,63.49206349206349,205.0,155.0,55.7,94.8,88.4,0.15,,1.5,17.0,2961.0,16.1,12.2,131.96721311475412,,,,96.4,,
Estonia,2020.0,108.0,660.0,122.0,2.3,25.9,71.9,3.0,29.1,67.9,0.6,23596.6,31370.0,863.0,16902.0,17764.0,6.8,57.4,70.3,81.65007112375532,5.3,1.6,7.6,3.5,3.2,0.1,74.6,28.7,2.0,69.1,,98.0,98.6,99.39148073022312,129.1,118.1,109.31414055884842,102.4,103.1,99.32104752667314,199.3,15.0,1328.6666666666667,82.9,74.5,111.2751677852349,16.4,26.6,61.65413533834586,184.0,142.0,57.0,94.8,89.1,0.17,,1.8,48.0,1023.0,11.1,8.4,132.14285714285714,,,,97.3,,
Estonia,2024.0,106.0,849.0,166.0,2.8,27.1,70.0,2.6,28.6,68.8,1.3,28693.3,38049.0,3329.0,20108.0,23437.0,7.3,60.7,71.4,85.0140056022409,,1.4,6.9,3.4,1.5,1.0,108.7,29.7,2.3,,,99.1,99.5,99.59798994974874,128.7,117.9,109.16030534351144,102.6,103.9,98.7487969201155,,,,83.2,75.1,110.7856191744341,15.6,27.7,56.317689530685925,185.0,144.0,57.0,94.9,91.0,0.54,,1.8,28.0,2166.0,12.0,9.0,133.33333333333331,,,,97.7,,
Eswatini,2015.0,100.0,533.0,135.0,9.8,37.6,52.6,13.4,24.7,61.8,2.2,3579.8,4059.0,312.0,1820.0,1508.0,23.3,46.8,56.1,83.42245989304811,5.4,3.1,7.1,0.1,9.9,0.6,0.9,6.2,64.0,23.3,2.6,118.8,131.6,90.27355623100304,64.8,66.7,97.15142428785606,88.1,88.3,99.77349943374858,32.4,2.9,1117.2413793103449,57.2,52.6,108.74524714828897,36.8,5.3,694.3396226415093,28.0,36.0,28.6,21.2,25.6,,2.37,0.3,34.0,873.0,0.9,0.8,112.5,79.1,,,,,
Eswatini,2020.0,104.0,271.0,167.0,8.7,33.6,57.8,13.6,23.9,62.5,1.6,3372.9,3982.0,147.0,1752.0,1605.0,24.8,46.7,54.1,86.32162661737523,5.4,2.9,6.6,0.1,11.3,1.2,2.0,9.6,54.7,24.0,,115.4,126.4,91.29746835443038,74.1,77.4,95.7364341085271,92.4,92.6,99.78401727861772,32.9,2.8,1175.0,62.8,56.9,110.36906854130054,34.7,6.1,568.8524590163936,28.0,37.0,28.9,22.7,49.0,,2.95,,41.0,194.0,1.1,1.0,110.00000000000001,76.9,,,,,
Eswatini,2024.0,106.0,141.0,,8.8,34.8,56.4,13.4,24.0,62.6,1.6,3600.6,4327.0,101.0,2222.0,2323.0,22.0,47.4,54.6,86.8131868131868,5.5,2.7,7.0,1.6,12.7,1.0,2.6,21.6,48.8,,,,,,,,,,,,,,,67.1,61.3,109.4616639477977,33.4,6.4,521.8749999999999,27.0,35.0,29.0,22.7,58.3,,2.8,,83.0,393.0,1.0,0.8,125.0,77.5,,,,,
Ethiopia,2015.0,101.0,7567.0,205.0,38.8,17.5,43.7,69.0,7.8,23.1,10.4,615.6,63079.0,15662.0,2024.0,17686.0,2.4,74.3,87.6,84.81735159817352,4.7,4.5,3.8,,8.6,2.7,705.7,27.8,63.3,19.4,4.9,93.1,101.0,92.17821782178217,17.4,17.6,98.86363636363635,42.1,43.6,96.55963302752293,1161.6,1.2,96800.0,66.4,61.0,108.85245901639344,42.9,4.5,953.3333333333334,1523.0,16.0,15.4,15.3,13.9,,5.04,0.6,145.0,864.0,10.0,0.1,10000.0,37.6,3.1,1212.9032258064517,15.7,3.4,461.7647058823529
Ethiopia,2020.0,120.0,2719.0,384.0,37.2,24.2,38.6,64.6,6.5,28.9,6.1,824.5,96622.0,11557.0,2533.0,14090.0,3.9,73.9,85.7,86.23103850641775,4.1,4.3,3.5,0.1,,2.7,2519.3,38.8,50.4,21.2,,109.6,119.3,91.86923721709974,,,,40.4,44.8,90.17857142857143,1085.5,0.9,120611.11111111111,69.4,62.8,110.50955414012739,40.5,4.8,843.75,1724.0,16.0,15.1,16.8,16.1,,4.96,0.3,180.0,271.0,12.4,0.1,12400.0,38.3,5.1,750.9803921568628,17.1,4.1,417.0731707317074
Ethiopia,2024.0,116.0,4788.0,849.0,38.8,23.4,37.7,62.8,6.5,30.7,5.3,964.3,118972.0,13453.0,3085.0,16538.0,3.3,74.8,85.9,87.07799767171129,3.7,3.9,3.2,0.1,,2.6,3657.1,41.3,43.2,,,82.2,88.7,92.67192784667418,,,,47.4,48.0,98.75,,,,71.0,64.4,110.24844720496894,39.1,5.1,766.6666666666667,1767.0,16.0,15.1,16.8,19.4,,3.68,,331.0,897.0,12.8,0.1,12800.0,38.6,5.8,665.5172413793105,17.4,4.2,414.2857142857142
Falkland Islands (Malvinas),2015.0,,,,,,,,,,,,,83.0,186.0,269.0,1.2,77.2,86.0,89.76744186046513,,1.7,,,,2.0,,,11.5,76.3,1.0,,,,,,,,,,1.6,55.4,2.888086642599278,80.2,76.7,104.5632333767927,17.8,14.7,121.08843537414967,0.0,165.0,0.0,20.8,98.3,,,,23.0,,0.0,12.2,0.0,,,,,,
Falkland Islands (Malvinas),2020.0,,,,,,,,,,,,,146.0,269.0,123.0,,,,,,1.7,,,,0.4,,,11.2,78.1,,,,,,,,,,,2.0,56.2,3.558718861209964,80.8,76.7,105.34550195567145,16.1,16.3,98.77300613496934,0.0,155.0,0.0,20.8,99.0,,,,24.0,,0.0,11.1,0.0,,,,,,
Falkland Islands (Malvinas),2024.0,,,,,,,,,,,,,149.0,348.0,199.0,,,,,,1.7,,,,0.0,,,10.4,,,,,,,,,,,,,,,81.3,77.4,105.03875968992247,16.3,19.4,84.02061855670104,0.0,150.0,0.0,20.8,,,,,25.0,,0.0,10.7,0.0,,,,,,
Faroe Islands,2015.0,100.0,194.0,,,,,,,,,,,140.0,1365.0,1225.0,4.0,79.4,86.0,92.32558139534885,7.6,2.4,,,,1.2,,,8.2,41.6,0.5,,,,,,,,,,5.5,11.4,48.24561403508772,81.9,77.3,105.95084087968954,21.1,22.7,92.95154185022028,1.0,186.0,0.1,15.8,94.2,,,,14.0,,0.6,12.9,4.651162790697675,,,,,,
Faroe Islands,2020.0,101.0,,,,,,,,,,,,85.0,1306.0,1391.0,,,,,8.0,2.4,,,,1.3,,,7.9,42.2,,,,,,,,,,,6.8,13.9,48.92086330935251,82.2,78.0,105.38461538461539,20.8,23.4,88.8888888888889,1.0,210.0,0.1,15.8,97.6,,,,29.0,,0.8,14.9,5.369127516778524,,,,,,
Faroe Islands,2024.0,107.0,,,,,,,,,,,,440.0,2384.0,1944.0,,,,,,2.2,,,,1.2,,,7.0,,,,,,,,,,,,,,,82.7,78.4,105.48469387755102,20.0,23.4,85.47008547008548,1.0,215.0,0.1,15.8,,,,,32.0,,0.8,15.3,5.228758169934641,,,,,,
Fiji,2015.0,109.0,163.0,116.0,10.0,19.3,70.6,30.4,14.5,55.1,4.7,5105.1,4682.0,1286.0,981.0,2268.0,4.3,39.9,76.4,52.22513089005235,4.8,2.6,3.3,0.8,2.2,0.1,0.0,14.0,21.9,54.7,1.7,96.4,99.8,96.59318637274549,81.9,70.9,115.5148095909732,96.1,96.3,99.79231568016614,13.8,1.6,862.5,69.0,64.2,107.4766355140187,29.6,8.3,356.6265060240964,7.0,27.0,60.6,11.2,42.5,,2.33,,278.0,755.0,1.3,1.4,92.85714285714288,52.5,27.1,193.72693726937268,42.9,54.5,78.71559633027523
Fiji,2020.0,114.0,614.0,129.0,16.9,20.3,62.8,29.7,14.0,56.3,17.0,4815.7,4432.0,904.0,826.0,1731.0,4.7,37.2,74.0,50.27027027027028,5.6,2.4,4.8,,2.2,0.3,0.0,19.6,26.3,56.8,,108.8,114.5,95.02183406113537,86.4,70.9,121.86177715091677,97.1,102.2,95.00978473581212,14.1,1.6,881.25,69.3,64.7,107.10973724884079,28.3,9.7,291.75257731958766,6.0,22.0,62.4,11.2,83.0,,4.51,,321.0,147.0,1.0,1.1,90.9090909090909,52.5,27.0,194.44444444444443,43.0,57.7,74.52339688041593
Fiji,2024.0,139.0,866.0,138.0,15.3,18.4,66.3,28.8,14.2,57.0,20.0,5356.2,4980.0,1894.0,1193.0,3088.0,4.2,39.2,77.4,50.64599483204134,5.6,2.3,5.4,,,0.5,0.0,9.1,20.4,,,105.5,110.5,95.47511312217195,84.8,71.4,118.7675070028011,77.6,98.8,78.54251012145748,,,,69.5,65.5,106.10687022900764,27.1,10.5,258.09523809523813,6.0,24.0,62.8,11.2,85.2,,13.98,,362.0,636.0,1.1,1.2,91.66666666666667,52.5,27.0,194.44444444444443,42.7,57.3,74.52006980802793
Finland,2015.0,100.0,2209.0,109.0,2.6,27.0,70.4,4.2,21.7,74.1,0.5,42785.2,234440.0,492.0,59682.0,60174.0,9.4,55.6,62.4,89.1025641025641,7.0,1.6,9.6,3.4,1.5,0.3,16.3,42.5,2.1,85.2,0.8,99.3,99.8,99.49899799599199,212.6,184.9,114.98107084910762,101.2,101.6,99.60629921259844,314.9,5.7,5524.561403508771,84.1,78.5,107.13375796178343,16.4,27.0,60.74074074074074,732.0,247.0,73.7,71.7,86.4,0.02,,2.9,25.0,2622.0,42.0,7.7,545.4545454545454,,,,,,
Finland,2020.0,98.0,1734.0,113.0,2.8,27.8,69.4,3.7,21.9,74.4,2.4,49170.4,271886.0,2660.0,65607.0,68267.0,7.8,55.2,62.9,87.758346581876,6.4,1.4,9.6,3.6,1.6,0.2,33.3,46.0,2.3,85.4,,99.6,100.0,99.6,199.8,171.7,116.36575422248107,101.7,102.8,98.92996108949417,386.1,7.0,5515.714285714286,84.6,79.0,107.0886075949367,15.7,29.0,54.137931034482754,745.0,239.0,73.7,71.8,92.2,0.96,,2.9,61.0,896.0,35.3,6.4,551.5624999999999,,,,,,
Finland,2024.0,98.0,4364.0,131.0,2.6,29.4,68.0,3.8,21.4,74.8,1.6,50988.1,282512.0,284.0,82442.0,82725.0,7.3,57.6,63.8,90.28213166144201,,1.3,10.3,4.4,1.2,0.2,89.2,46.0,2.3,,,98.4,98.8,99.59514170040487,205.9,172.1,119.63974433468914,102.0,102.5,99.51219512195122,,,,84.8,79.4,106.80100755667506,14.6,30.4,48.026315789473685,796.0,250.0,73.7,71.9,93.0,0.77,,3.0,40.0,2127.0,34.7,6.3,550.7936507936508,,,,,,
France,2015.0,102.0,9130.0,106.0,1.8,19.8,78.5,2.7,20.4,76.9,1.1,36930.5,2438208.0,69457.0,493941.0,563398.0,10.4,51.6,60.9,84.72906403940887,5.4,1.9,11.4,3.2,1.6,0.3,320.1,26.2,4.3,79.7,0.8,101.7,102.3,99.41348973607037,108.6,105.4,103.03605313092979,100.5,101.0,99.5049504950495,7878.3,12.2,64576.22950819673,85.2,79.0,107.84810126582278,18.2,25.0,72.8,5770.0,159.0,30.7,64.2,78.0,0.05,,2.2,236.0,84452.0,308.8,4.7,6570.212765957447,99.0,98.4,100.60975609756098,,,
France,2020.0,94.0,41381.0,111.0,1.8,18.8,79.4,2.4,20.0,77.7,7.5,39631.7,2647419.0,92818.0,487987.0,580806.0,8.0,50.6,58.8,86.05442176870748,5.4,1.8,12.1,3.3,1.1,0.3,524.9,39.5,4.0,80.7,,102.4,103.0,99.41747572815535,108.6,107.7,100.83565459610027,101.5,101.9,99.60745829244357,8524.9,13.1,65075.57251908397,85.1,79.2,107.44949494949493,17.4,26.9,64.68401486988847,4973.0,136.0,31.5,80.8,84.7,0.78,,2.3,366.0,41684.0,256.0,3.8,6736.8421052631575,99.8,98.4,101.42276422764228,,,
France,2024.0,94.0,22792.0,124.0,2.1,18.8,79.1,2.6,19.3,78.2,2.5,41426.0,2775317.0,136931.0,640201.0,777132.0,7.0,52.5,60.1,87.35440931780366,,1.6,12.3,3.3,1.6,0.2,708.6,37.3,3.8,,,102.4,102.9,99.51409135082604,109.6,108.5,101.01382488479263,100.7,100.8,99.90079365079364,,,,86.2,80.6,106.94789081885858,16.5,28.4,58.098591549295776,5278.0,147.0,31.7,81.1,85.3,0.9,,2.2,417.0,48395.0,285.0,4.3,6627.906976744187,100.0,98.4,101.62601626016259,,,
French Guiana,2015.0,,,105.0,,,,,14.9,58.3,,,,,,,21.3,48.4,58.8,82.31292517006803,,3.5,,,,1.9,,,12.2,84.5,3.1,,,,,,,,,,106.1,40.7,260.6879606879607,79.2,74.1,106.88259109311741,35.3,7.6,464.4736842105263,3.0,52.0,96.8,81.3,,,,,67.0,87.0,0.7,2.9,24.137931034482758,,,,,,
French Guiana,2020.0,,,108.0,,,,,,,,,,,,,,,,,,3.7,,,13.3,0.8,,,11.5,85.6,,,,,,,,,,,119.2,39.9,298.74686716791985,80.5,74.6,107.90884718498661,31.9,9.7,328.8659793814433,,,96.6,83.2,,,,,79.0,111.0,,,,,,,,,
French Guiana,2024.0,,,118.0,,,,,,,,,,,,,,,,,,3.3,,,,1.7,,,11.1,,,,,,,,,,,,,,,80.1,74.3,107.80619111709287,31.1,10.8,287.962962962963,,,96.6,83.2,,,,,162.0,,,,,,,,,,
French Polynesia,2015.0,102.0,291.0,122.0,3.6,12.0,84.4,2.5,15.1,82.4,1.7,18245.2,5324.0,1397.0,130.0,1527.0,11.5,49.2,63.3,77.72511848341233,,1.9,,,,0.5,,,7.4,61.7,1.2,,,,,,,,,,30.1,11.0,273.6363636363636,85.0,79.9,106.38297872340425,24.1,11.1,217.11711711711712,1.0,44.0,43.1,0.0,64.6,,,,175.0,184.0,0.9,3.0,30.0,,,,,,
